mH,mA,mHc,sinba,cba,m12,tb
823.777,872.126,748.543,0.998693,0.0511174,,9.78678999999999
730.541,860.973,729.896,0.999234,0.0391317,,9.79125000000001
600,526.819,627.678,0.987756,0.156004,,9.79150000000001
965.288,950.158,1019.79,0.998347,0.0574714,,9.79174
905.245,993.137,1020.38,0.999645,0.0266589,,9.79177
676.815,994.181,1000.08,0.998848,0.0479769,,9.79311
980.737,972.505,1043.29,0.999379,0.035233,,9.79363
737.008,997.765,1013.47,0.999506,0.0314141,,9.79564
672.477,993.552,1012.88,0.998141,0.0609538,,9.79688
735.377,993.078,1001.85,0.999402,0.0345805,,9.79848
665.073,981.389,1001.07,0.998563,0.0535981,,9.79955
738.788,998.451,1012.02,0.999193,0.0401608,,9.80119
698.661,865.422,749.887,0.999105,0.0423054,,9.8023
783.984,877.955,795.81,0.998442,0.0557967,,9.80265000000001
714.737,994.703,1007,0.999486,0.0320435,,9.80313
791.938,991.205,1008.4,0.99967,0.0256735,,9.80399
798.842,870.19,747.721,0.998711,0.0507584,,9.80458000000001
740.246,993.153,1000.53,0.998934,0.0461677,,9.80476
739.688,990.334,1002.05,0.999592,0.0285644,,9.8059
732.125,998.74,1013.13,0.999253,0.0386403,,9.8061
742.093,997.542,1006.42,0.998677,0.0514282,,9.80741
794.005,996.959,1006.9,0.999698,0.0245713,,9.8076
797.099,988.704,1012.12,0.998976,0.0452451,,9.80954
804.198,867.469,741.037,0.998706,0.0508486,,9.81031000000001
738.498,839.412,704.466,0.998909,0.0466936,,9.81242000000001
728.204,863.053,748.353,0.999143,0.0413964,,9.81811
746.619,979.036,1002.6,0.999317,0.03696,,9.81843
699.709,859.421,725.791,0.99924,0.0389711,,9.81851
916.603,973.597,1019.48,0.998973,0.0453091,,9.81898
719.333,866.601,777.582,0.99958,0.0289788,,9.81975
973.976,921.022,1022.17,0.999512,0.0312258,,9.82082
716.644,984.954,1001.54,0.999148,0.0412774,,9.82219
722.885,855.98,772.389,0.999536,0.0304544,,9.82352
804.979,877.503,797.765,0.998818,0.0486162,,9.82606999999999
718.999,998.553,1011.33,0.998628,0.0523634,,9.82776
696.34,994.508,1006.02,0.998891,0.0470926,,9.82785
795.539,874.29,758.885,0.999196,0.0400797,,9.82812000000001
824.931,874.176,776.068,0.999267,0.0382914,,9.82829000000001
750.393,864.64,772.571,0.999276,0.0380429,,9.8288
728.422,859.928,774.986,0.999203,0.0399138,,9.83295
741.765,843.37,707.647,0.998484,0.0550436,,9.83373
673.676,993.113,1006.2,0.998182,0.0602701,,9.83438
720.202,994.066,1004.78,0.999727,0.0233598,,9.83581
746.038,864.696,770.148,0.999335,0.0364698,,9.84612999999999
721.609,860.409,739.466,0.99887,0.0475317,,9.85508
689.988,994.48,1005.34,0.998635,0.0522382,,9.8598
971.439,982.384,1017.93,0.998587,0.0531335,,9.86117
764.707,989.295,1009.37,0.999231,0.0392171,,9.86151
910.531,994.786,1015,0.999591,0.0285992,,9.8634
781.522,991.854,1006.1,0.998796,0.049051,,9.86434
603.244,515.564,630.809,0.984086,0.177693,,9.86446000000001
771.662,994.655,1017.7,0.999131,0.041682,,9.86448
890.314,830.06,764.176,0.998409,0.0563932,,9.86449000000001
640.831,991.991,1006.04,0.999165,0.0408679,,9.86966
722.476,997.009,1002.76,0.99868,0.0513721,,9.87144
973.096,730.531,736.007,0.989078,0.147395,,9.87169
