      -100           0          10          20          30          40          50          60          70          80          90         100
     1500.00     0.004773    0.005118    0.005094    0.005070    0.005046    0.005023    0.004999    0.004975    0.004951    0.004927    0.004904
     1510.00     0.004751    0.005092    0.005069    0.005047    0.005024    0.005002    0.004979    0.004957    0.004935    0.004912    0.004890
     1520.00     0.004728    0.005065    0.005044    0.005023    0.005002    0.004981    0.004960    0.004939    0.004918    0.004897    0.004876
     1530.00     0.004705    0.005039    0.005019    0.005000    0.004980    0.004960    0.004941    0.004921    0.004901    0.004882    0.004862
     1540.00     0.004683    0.005013    0.004995    0.004976    0.004958    0.004940    0.004921    0.004903    0.004885    0.004866    0.004848
     1550.00     0.004660    0.004987    0.004970    0.004953    0.004936    0.004919    0.004902    0.004885    0.004868    0.004851    0.004834
     1560.00     0.004638    0.004961    0.004945    0.004929    0.004914    0.004898    0.004883    0.004867    0.004851    0.004836    0.004820
     1570.00     0.004615    0.004934    0.004920    0.004906    0.004892    0.004877    0.004863    0.004849    0.004835    0.004821    0.004806
     1580.00     0.004593    0.004908    0.004895    0.004882    0.004870    0.004857    0.004844    0.004831    0.004818    0.004805    0.004792
     1590.00     0.004570    0.004882    0.004870    0.004859    0.004847    0.004836    0.004824    0.004813    0.004801    0.004790    0.004779
     1600.00     0.004548    0.004856    0.004845    0.004835    0.004825    0.004815    0.004805    0.004795    0.004785    0.004775    0.004765
     1610.00     0.004525    0.004829    0.004821    0.004812    0.004803    0.004794    0.004786    0.004777    0.004768    0.004759    0.004751
     1620.00     0.004503    0.004803    0.004796    0.004788    0.004781    0.004774    0.004766    0.004759    0.004752    0.004744    0.004737
     1630.00     0.004480    0.004777    0.004771    0.004765    0.004759    0.004753    0.004747    0.004741    0.004735    0.004729    0.004723
     1640.00     0.004457    0.004751    0.004746    0.004741    0.004737    0.004732    0.004728    0.004723    0.004718    0.004714    0.004709
     1650.00     0.004435    0.004724    0.004721    0.004718    0.004715    0.004711    0.004708    0.004705    0.004702    0.004698    0.004695
     1660.00     0.004412    0.004698    0.004696    0.004694    0.004693    0.004691    0.004689    0.004687    0.004685    0.004683    0.004681
     1670.00     0.004390    0.004672    0.004671    0.004671    0.004670    0.004670    0.004669    0.004669    0.004668    0.004668    0.004667
     1680.00     0.004367    0.004646    0.004647    0.004647    0.004648    0.004649    0.004650    0.004651    0.004652    0.004653    0.004654
     1690.00     0.004345    0.004620    0.004622    0.004624    0.004626    0.004628    0.004631    0.004633    0.004635    0.004637    0.004640
     1700.00     0.004322    0.004593    0.004597    0.004601    0.004604    0.004608    0.004611    0.004615    0.004619    0.004622    0.004626
