# CMS, CMS-PAS-HIG-18-005, Fig. 5b
# 180052_CMS_bb-A-Zh-Zbb_13TeV_35.9fb-1.txt
# Limit is set on sigma(bb->A) x BR(A->Zh) x BR(h->bb) in pb
# MA	obs		exp

       888.0          0.1615E-01      0.1859E-01
       889.0          0.1624E-01      0.1853E-01
       890.0          0.1632E-01      0.1846E-01
       891.0          0.1641E-01      0.1839E-01
       892.0          0.1650E-01      0.1833E-01
       893.0          0.1658E-01      0.1826E-01
       894.0          0.1667E-01      0.1820E-01
       895.0          0.1675E-01      0.1813E-01
       896.0          0.1684E-01      0.1807E-01
       897.0          0.1693E-01      0.1800E-01
       898.0          0.1701E-01      0.1793E-01
       899.0          0.1710E-01      0.1787E-01
       900.0          0.1719E-01      0.1787E-01
       901.0          0.1727E-01      0.1787E-01
       902.0          0.1742E-01      0.1787E-01
       903.0          0.1757E-01      0.1787E-01
       904.0          0.1772E-01      0.1787E-01
       905.0          0.1787E-01      0.1787E-01
       906.0          0.1802E-01      0.1787E-01
       907.0          0.1817E-01      0.1787E-01
       908.0          0.1832E-01      0.1787E-01
       909.0          0.1847E-01      0.1787E-01
       910.0          0.1862E-01      0.1787E-01
       911.0          0.1877E-01      0.1787E-01
       912.0          0.1892E-01      0.1787E-01
       913.0          0.1907E-01      0.1787E-01
