# CMS, CMS-PAS-HIG-18-005, Fig. 5a
# 180051_CMS_gg-A-Zh-Zbb_13TeV_35.9fb-1.txt
# Limit is set on sigma(gg->A) x BR(A->Zh) x BR(h->bb) in pb
# MA	obs		exp

       735.0          0.4054E-01      0.2345E-01
       736.0          0.4041E-01      0.2339E-01
       737.0          0.4029E-01      0.2332E-01
       738.0          0.4017E-01      0.2326E-01
       739.0          0.4004E-01      0.2319E-01
       740.0          0.3992E-01      0.2312E-01
       741.0          0.3979E-01      0.2306E-01
       742.0          0.3967E-01      0.2299E-01
       743.0          0.3954E-01      0.2292E-01
       744.0          0.3942E-01      0.2286E-01
       745.0          0.3929E-01      0.2279E-01
       746.0          0.3917E-01      0.2272E-01
       747.0          0.3904E-01      0.2266E-01
       748.0          0.3892E-01      0.2259E-01
       749.0          0.3879E-01      0.2252E-01
       750.0          0.3867E-01      0.2246E-01
       751.0          0.3830E-01      0.2239E-01
       752.0          0.3792E-01      0.2232E-01
       753.0          0.3755E-01      0.2226E-01
       754.0          0.3718E-01      0.2219E-01
       755.0          0.3681E-01      0.2212E-01
       756.0          0.3643E-01      0.2204E-01
       757.0          0.3606E-01      0.2196E-01
       758.0          0.3569E-01      0.2189E-01
       759.0          0.3532E-01      0.2181E-01
       760.0          0.3495E-01      0.2174E-01
       761.0          0.3457E-01      0.2166E-01
       762.0          0.3420E-01      0.2159E-01
       763.0          0.3383E-01      0.2151E-01
       764.0          0.3346E-01      0.2144E-01
       765.0          0.3309E-01      0.2136E-01
       766.0          0.3271E-01      0.2129E-01
       767.0          0.3234E-01      0.2121E-01
       768.0          0.3197E-01      0.2114E-01
       769.0          0.3160E-01      0.2106E-01
       770.0          0.3122E-01      0.2099E-01
       771.0          0.3085E-01      0.2091E-01
       772.0          0.3048E-01      0.2084E-01
       773.0          0.3011E-01      0.2076E-01
       774.0          0.2974E-01      0.2069E-01
       775.0          0.2936E-01      0.2061E-01
       776.0          0.2899E-01      0.2054E-01
       777.0          0.2862E-01      0.2042E-01
       778.0          0.2825E-01      0.2030E-01
       779.0          0.2787E-01      0.2019E-01
       780.0          0.2750E-01      0.2007E-01
       781.0          0.2713E-01      0.1995E-01
       782.0          0.2676E-01      0.1983E-01
       783.0          0.2639E-01      0.1972E-01
       784.0          0.2601E-01      0.1960E-01
       785.0          0.2564E-01      0.1948E-01
       786.0          0.2527E-01      0.1937E-01
       787.0          0.2490E-01      0.1925E-01
       788.0          0.2452E-01      0.1913E-01
       789.0          0.2415E-01      0.1902E-01
       790.0          0.2378E-01      0.1890E-01
       791.0          0.2341E-01      0.1878E-01
       792.0          0.2304E-01      0.1866E-01
       793.0          0.2266E-01      0.1855E-01
       794.0          0.2229E-01      0.1843E-01
       795.0          0.2192E-01      0.1831E-01
       796.0          0.2155E-01      0.1820E-01
       797.0          0.2117E-01      0.1808E-01
       798.0          0.2080E-01      0.1796E-01
       799.0          0.2043E-01      0.1785E-01
       800.0          0.2006E-01      0.1788E-01
       801.0          0.1969E-01      0.1791E-01
       802.0          0.1931E-01      0.1794E-01
       803.0          0.1894E-01      0.1797E-01
       804.0          0.1857E-01      0.1800E-01
       805.0          0.1820E-01      0.1803E-01
       806.0          0.1782E-01      0.1806E-01
       807.0          0.1745E-01      0.1809E-01
       808.0          0.1708E-01      0.1812E-01
       809.0          0.1671E-01      0.1816E-01
       810.0          0.1634E-01      0.1819E-01
       811.0          0.1596E-01      0.1822E-01
       812.0          0.1559E-01      0.1825E-01
       813.0          0.1522E-01      0.1828E-01
       814.0          0.1485E-01      0.1831E-01
       815.0          0.1447E-01      0.1834E-01
       816.0          0.1410E-01      0.1837E-01
       817.0          0.1373E-01      0.1838E-01
       818.0          0.1336E-01      0.1838E-01
       819.0          0.1299E-01      0.1839E-01
       820.0          0.1261E-01      0.1840E-01
       821.0          0.1224E-01      0.1840E-01
       822.0          0.1187E-01      0.1841E-01
       823.0          0.1150E-01      0.1842E-01
       824.0          0.1112E-01      0.1842E-01
       825.0          0.1107E-01      0.1843E-01
       826.0          0.1102E-01      0.1844E-01
       827.0          0.1097E-01      0.1844E-01
       828.0          0.1091E-01      0.1845E-01
       829.0          0.1086E-01      0.1845E-01
       830.0          0.1081E-01      0.1846E-01
       831.0          0.1076E-01      0.1842E-01
       832.0          0.1070E-01      0.1839E-01
       833.0          0.1065E-01      0.1835E-01
       834.0          0.1060E-01      0.1832E-01
       835.0          0.1055E-01      0.1828E-01
       836.0          0.1049E-01      0.1824E-01
       837.0          0.1044E-01      0.1821E-01
       838.0          0.1039E-01      0.1817E-01
       839.0          0.1033E-01      0.1813E-01
       840.0          0.1028E-01      0.1810E-01
       841.0          0.1023E-01      0.1806E-01
       842.0          0.1018E-01      0.1802E-01
       843.0          0.1012E-01      0.1799E-01
       844.0          0.1007E-01      0.1795E-01
       845.0          0.1002E-01      0.1792E-01
       846.0          0.9966E-02      0.1788E-01
       847.0          0.9913E-02      0.1784E-01
       848.0          0.9860E-02      0.1781E-01
       849.0          0.9808E-02      0.1777E-01
       850.0          0.9865E-02      0.1773E-01
       851.0          0.9922E-02      0.1770E-01
       852.0          0.9979E-02      0.1766E-01
       853.0          0.1004E-01      0.1762E-01
       854.0          0.1009E-01      0.1759E-01
       855.0          0.1015E-01      0.1753E-01
       856.0          0.1021E-01      0.1746E-01
       857.0          0.1027E-01      0.1740E-01
       858.0          0.1032E-01      0.1734E-01
       859.0          0.1038E-01      0.1727E-01
       860.0          0.1044E-01      0.1721E-01
       861.0          0.1049E-01      0.1715E-01
       862.0          0.1055E-01      0.1709E-01
       863.0          0.1061E-01      0.1702E-01
       864.0          0.1067E-01      0.1696E-01
       865.0          0.1072E-01      0.1690E-01
       866.0          0.1078E-01      0.1684E-01
       867.0          0.1084E-01      0.1677E-01
       868.0          0.1089E-01      0.1671E-01
       869.0          0.1095E-01      0.1665E-01
       870.0          0.1101E-01      0.1659E-01
       871.0          0.1107E-01      0.1652E-01
       872.0          0.1112E-01      0.1646E-01
       873.0          0.1118E-01      0.1640E-01
       874.0          0.1124E-01      0.1634E-01
       875.0          0.1129E-01      0.1627E-01
       876.0          0.1135E-01      0.1621E-01
       877.0          0.1141E-01      0.1615E-01
       878.0          0.1147E-01      0.1608E-01
       879.0          0.1152E-01      0.1602E-01
       880.0          0.1158E-01      0.1596E-01
       881.0          0.1164E-01      0.1590E-01
       882.0          0.1170E-01      0.1583E-01
       883.0          0.1175E-01      0.1577E-01
       884.0          0.1181E-01      0.1571E-01
       885.0          0.1187E-01      0.1565E-01
       886.0          0.1192E-01      0.1558E-01
       887.0          0.1198E-01      0.1555E-01
       888.0          0.1204E-01      0.1552E-01
       889.0          0.1210E-01      0.1548E-01
       890.0          0.1215E-01      0.1545E-01
       891.0          0.1221E-01      0.1542E-01
       892.0          0.1227E-01      0.1538E-01
       893.0          0.1232E-01      0.1535E-01
       894.0          0.1238E-01      0.1532E-01
       895.0          0.1244E-01      0.1528E-01
       896.0          0.1250E-01      0.1525E-01
       897.0          0.1255E-01      0.1522E-01
       898.0          0.1261E-01      0.1518E-01
       899.0          0.1267E-01      0.1515E-01
       900.0          0.1272E-01      0.1512E-01
       901.0          0.1278E-01      0.1508E-01
       902.0          0.1284E-01      0.1505E-01
       903.0          0.1290E-01      0.1502E-01
       904.0          0.1295E-01      0.1498E-01
       905.0          0.1301E-01      0.1495E-01
       906.0          0.1307E-01      0.1492E-01
       907.0          0.1313E-01      0.1490E-01
       908.0          0.1318E-01      0.1487E-01
       909.0          0.1324E-01      0.1485E-01
